Date;Symbol;Indexvalue
10.03.2020;V6I1;68.0458
11.03.2020;V6I1;67.821
12.03.2020;V6I1;91.2802
13.03.2020;V6I1;91.3479
16.03.2020;V6I1;120.8406
17.03.2020;V6I1;107.1871
18.03.2020;V6I1;107.1211
23.03.2020;V6I1;66.4176
24.03.2020;V6I1;55.0494
25.03.2020;V6I1;60.0415
26.03.2020;V6I1;57.5426
27.03.2020;V6I1;64.3589
30.03.2020;V6I1;58.919
31.03.2020;V6I1;49.9737
01.04.2020;V6I1;52.5341
02.04.2020;V6I1;49.9835
03.04.2020;V6I1;43.9121
06.04.2020;V6I1;43.6314
07.04.2020;V6I1;49.9528
08.04.2020;V6I1;46.1244
09.04.2020;V6I1;44.0512
14.04.2020;V6I1;41.567
15.04.2020;V6I1;54.3766
20.04.2020;V6I1;41.6195
21.04.2020;V6I1;48.7573
22.04.2020;V6I1;44.1441
23.04.2020;V6I1;40.1521
24.04.2020;V6I1;39.5046
27.04.2020;V6I1;34.011
28.04.2020;V6I1;31.982
29.04.2020;V6I1;29.2621
30.04.2020;V6I1;32.9966
04.05.2020;V6I1;38.7248
05.05.2020;V6I1;33.8965
06.05.2020;V6I1;34.2733
07.05.2020;V6I1;30.8079
08.05.2020;V6I1;26.5887
11.05.2020;V6I1;30.7832
12.05.2020;V6I1;28.5494
13.05.2020;V6I1;39.4457
18.05.2020;V6I1;29.1202
19.05.2020;V6I1;30.1721
20.05.2020;V6I1;29.1075
21.05.2020;V6I1;32.3652
22.05.2020;V6I1;31.4206
25.05.2020;V6I1;29.0846
26.05.2020;V6I1;27.7819
27.05.2020;V6I1;29.1413
28.05.2020;V6I1;28.8115
29.05.2020;V6I1;31.2835
01.06.2020;V6I1;30.6827
02.06.2020;V6I1;31.7853
03.06.2020;V6I1;31.1469
04.06.2020;V6I1;28.213
05.06.2020;V6I1;29.695
08.06.2020;V6I1;29.8899
09.06.2020;V6I1;31.8933
10.06.2020;V6I1;31.9978
11.06.2020;V6I1;40.203
12.06.2020;V6I1;46.899
15.06.2020;V6I1;46.7207
16.06.2020;V6I1;50.5874
17.06.2020;V6I1;45.6815
22.06.2020;V6I1;33.7659
23.06.2020;V6I1;31.2188
24.06.2020;V6I1;37.1685
25.06.2020;V6I1;34.7995
26.06.2020;V6I1;35.3325
29.06.2020;V6I1;34.9688
30.06.2020;V6I1;31.5817
01.07.2020;V6I1;29.6321
02.07.2020;V6I1;26.6606
03.07.2020;V6I1;26.7007
06.07.2020;V6I1;27.0276
07.07.2020;V6I1;26.9387
08.07.2020;V6I1;28.942
09.07.2020;V6I1;30.5418
10.07.2020;V6I1;26.7706
13.07.2020;V6I1;28.731
14.07.2020;V6I1;33.2523
15.07.2020;V6I1;30.0839
20.07.2020;V6I1;24.3745
21.07.2020;V6I1;23.5599
22.07.2020;V6I1;24.1895
23.07.2020;V6I1;23.1824
24.07.2020;V6I1;25.3807
27.07.2020;V6I1;24.7822
28.07.2020;V6I1;23.8506
29.07.2020;V6I1;23.5354
30.07.2020;V6I1;27.9118
31.07.2020;V6I1;26.3775
03.08.2020;V6I1;25.6702
04.08.2020;V6I1;24.881
05.08.2020;V6I1;23.5479
06.08.2020;V6I1;24.6151
07.08.2020;V6I1;23.1835
10.08.2020;V6I1;23.3007
11.08.2020;V6I1;23.086
12.08.2020;V6I1;21.8175
13.08.2020;V6I1;21.4976
14.08.2020;V6I1;22.9406
17.08.2020;V6I1;23.5037
18.08.2020;V6I1;24.0234
19.08.2020;V6I1;23.4041
24.08.2020;V6I1;22.7204
25.08.2020;V6I1;22.8625
26.08.2020;V6I1;21.3892
27.08.2020;V6I1;22.9367
28.08.2020;V6I1;24.5276
31.08.2020;V6I1;26.78
01.09.2020;V6I1;27.1196
02.09.2020;V6I1;26.2079
03.09.2020;V6I1;29.262
04.09.2020;V6I1;32.7353
07.09.2020;V6I1;29.5474
08.09.2020;V6I1;30.0943
09.09.2020;V6I1;27.0632
10.09.2020;V6I1;25.5798
11.09.2020;V6I1;23.2469
14.09.2020;V6I1;26.0038
15.09.2020;V6I1;24.4628
16.09.2020;V6I1;25.6182
21.09.2020;V6I1;29.8646
22.09.2020;V6I1;27.8555
23.09.2020;V6I1;26.6455
24.09.2020;V6I1;27.8075
25.09.2020;V6I1;27.1231
28.09.2020;V6I1;25.7308
29.09.2020;V6I1;25.8517
30.09.2020;V6I1;24.8571
01.10.2020;V6I1;25.0627
02.10.2020;V6I1;24.8911
05.10.2020;V6I1;23.9449
06.10.2020;V6I1;22.8977
07.10.2020;V6I1;22.5132
08.10.2020;V6I1;20.5458
09.10.2020;V6I1;17.5915
12.10.2020;V6I1;21.185
13.10.2020;V6I1;23.1596
14.10.2020;V6I1;23.2049
19.10.2020;V6I1;26.6053
20.10.2020;V6I1;27.6228
21.10.2020;V6I1;29.4586
22.10.2020;V6I1;29.0534
23.10.2020;V6I1;28.1996
26.10.2020;V6I1;32.256
27.10.2020;V6I1;33.4887
28.10.2020;V6I1;39.6039
29.10.2020;V6I1;38.8157
30.10.2020;V6I1;36.4227
02.11.2020;V6I1;37.4884
03.11.2020;V6I1;35.2321
04.11.2020;V6I1;29.3196
05.11.2020;V6I1;26.5343
06.11.2020;V6I1;25.3549
09.11.2020;V6I1;25.5098
10.11.2020;V6I1;27.209
11.11.2020;V6I1;23.0009
12.11.2020;V6I1;23.0975
13.11.2020;V6I1;22.0578
16.11.2020;V6I1;24.0035
17.11.2020;V6I1;22.91
18.11.2020;V6I1;19.9318
23.11.2020;V6I1;22.5333
24.11.2020;V6I1;21.3068
25.11.2020;V6I1;20.6681
26.11.2020;V6I1;20.1486
27.11.2020;V6I1;20.0867
30.11.2020;V6I1;23.8577
01.12.2020;V6I1;21.9388
02.12.2020;V6I1;22.5713
03.12.2020;V6I1;21.6963
04.12.2020;V6I1;21.2345
07.12.2020;V6I1;22.434
08.12.2020;V6I1;21.1159
09.12.2020;V6I1;21.2554
10.12.2020;V6I1;21.0309
11.12.2020;V6I1;27.5215
14.12.2020;V6I1;27.7358
15.12.2020;V6I1;27.5571
16.12.2020;V6I1;27.9894
21.12.2020;V6I1;27.4868
22.12.2020;V6I1;25.2638
23.12.2020;V6I1;22.9216
28.12.2020;V6I1;21.1502
29.12.2020;V6I1;21.9763
30.12.2020;V6I1;23.4594
04.01.2021;V6I1;26.2125
05.01.2021;V6I1;26.7858
06.01.2021;V6I1;21.3779
07.01.2021;V6I1;20.2906
08.01.2021;V6I1;18.7145
11.01.2021;V6I1;24.0342
12.01.2021;V6I1;22.7023
13.01.2021;V6I1;22.5546
18.01.2021;V6I1;22.0744
